1	1	1
2	2	1
3	3	1
4	4	1
5	1	1
6	4	1
7	3	1
8	5	1
9	5	1
10	1	1
11	4	1
12	6	1
13	7	1
14	0	0
15	7	1
16	3	1
17	1	1
18	8	1
19	0	0
20	9	1
21	8	1
22	5	0
23	5	1
24	1	1
25	6	1
26	2	1
27	7	1
28	8	1
29	6	1
30	9	1
31	9	1
32	7	1
33	3	1
34	2	1
35	7	1
36	9	1
37	10	1
38	0	0
39	7	1
40	3	1
41	0	0
42	1	1
43	7	1
44	7	1
45	11	1
46	2	1
47	12	1
48	3	1
49	11	1
50	12	1
51	6	1
52	5	1
53	4	1
54	12	1
55	7	1
56	0	0
57	8	1
58	0	0
59	10	1
60	10	1
61	3	1
62	7	1
63	8	1
64	10	1
65	0	0
66	0	0
67	11	1
68	12	1
69	5	1
70	6	1
71	8	1
72	0	0
73	4	1
74	12	1
75	4	1
76	11	1
77	8	1
78	5	1
79	5	1
80	9	1
81	9	1
82	4	1
83	3	1
84	12	1
85	4	1
86	0	0
87	11	1
88	8	1
89	12	1
90	2	1
91	6	1
92	0	0
93	11	1
94	1	1
95	9	1
96	8	1
97	8	1
98	10	1
99	4	1
100	7	1
101	3	1
102	9	1
103	4	1
104	2	1
105	0	0
106	2	1
107	0	0
108	4	1
109	5	1
110	2	1
111	0	0
112	5	1
113	11	1
114	8	1
115	12	1
